Matricula,Idade,Gênero,Departamento,Cargo,Banda Salarial,Status,Motivo do Desligamento,Escolaridade,Estado Civil,Última Promoção (anos),Horas-extras (média),Tempo de Empresa,Engajamento,Satisfação,Desempenho,Apoio da Liderança,Percepção de Desenvolvimento
447,36,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,3,3,2,3,3
490,48,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,8,1,1,3,3,1
543,53,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,6,3,3,3,3,3
1036,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Solteiro,0,0,2,3,3,3,3,3
954,30,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,3,5,2,2,2,3,2
623,31,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,3,1,1,2,3,2
1079,31,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,3,3,2,3,3
2000,43,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,0,1,2,2,3,2
1188,33,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Casado,1,1,1,1,1,3,3,1
1047,21,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,5,1,1,2,3,1
410,24,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,5,2,2,2,3,2
1460,49,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,1,2,2,2,2,3,2
1303,52,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,8,3,3,3,3,3
1819,23,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Involuntário,Ensino Superior,Solteiro,0,1,10,1,2,1,3,2
1243,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,0,6,1,1,3,3,1
1698,56,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,7,1,2,3,3,2
1592,41,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,2,0,4,1,1,2,3,1
869,45,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Casado,1,1,2,3,3,2,3,3
478,26,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,1,9,3,3,3,3,3
1650,44,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,9,3,3,2,3,3
22,41,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,8,1,2,2,3,2
1942,24,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,1,1,7,1,1,2,3,1
777,55,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,0,3,3,3,3,2
792,26,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,3,3,3,3,3,3,3
1428,43,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,0,4,1,1,2,3,1
443,18,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,10,1,2,2,3,2
1275,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,4,3,3,3,3,3
1285,49,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,0,9,1,1,2,3,1
1603,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,7,3,3,2,3,2
1472,21,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,1,4,3,1,3,3,2
581,45,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,0,9,3,3,3,3,3
1130,31,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,3,5,2,2,2,3,2
209,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,1,8,1,2,2,3,2
909,54,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,1,1,8,1,2,2,3,2
94,23,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,1,7,3,3,2,3,2
217,44,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,4,3,3,3,3,3
892,56,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,4,3,3,2,3,3
357,26,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,1,4,3,3,3,3,3
985,33,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,0,1,1,2,3,1
595,20,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,4,3,3,3,3,3
1216,36,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,1,0,9,3,2,2,3,2
1409,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,3,1,1,3,3,1
1090,58,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,1,10,1,1,2,3,1
333,23,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,2,3,9,3,3,2,3,3
950,19,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Solteiro,2,0,1,3,3,2,3,2
1752,20,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,7,1,3,2,3,2
277,18,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,0,1,1,2,3,1
1274,47,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,0,3,3,3,3,3
1399,32,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,8,3,3,3,3,3
1118,22,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,1,10,3,3,2,3,3
1755,55,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,7,3,3,2,3,2
540,29,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,1,1,2,2,2,3,2
1194,32,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,2,1,7,3,3,3,3,3
180,50,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,0,1,4,1,1,3,3,1
809,30,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,4,3,3,2,3,2
983,19,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,0,2,2,2,3,2
1971,51,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,0,0,1,1,3,3,1
498,51,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,7,3,3,2,3,3
669,31,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,1,4,3,3,3,3,3
1714,36,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,0,6,3,3,2,3,3
710,42,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,3,9,2,2,2,3,2
318,57,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,0,3,3,3,3,3
275,31,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,0,3,3,2,3,3
1757,24,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,6,1,2,2,3,2
1096,57,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,1,3,10,3,3,3,3,3
8,22,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,1,9,3,3,3,3,3
878,18,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,2,1,7,3,3,2,3,3
1912,21,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Pós-Graduação,Solteiro,0,3,9,2,2,2,3,2
491,31,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,2,2,3,3,2
753,24,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,1,8,3,3,2,3,3
604,53,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,7,1,1,3,3,1
901,58,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Solteiro,1,1,6,3,3,2,3,3
1991,57,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,1,3,4,3,3,3,3,3
845,38,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,7,3,2,2,3,2
1825,43,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,1,3,3,3,3,3
1467,20,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,6,3,3,2,3,2
962,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,7,1,1,3,3,1
184,36,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,0,3,3,2,2,2,3,2
1715,23,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,2,0,7,3,3,2,3,2
106,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,0,8,3,3,2,3,3
1978,59,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,2,1,9,2,2,2,3,2
1995,59,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,1,5,3,3,2,3,3
1055,37,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,8,3,3,2,3,3
1180,40,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,9,3,3,2,3,2
344,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,2,2,3,3,2
459,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,8,3,3,2,3,2
590,26,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,10,3,3,2,3,3
360,51,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,10,2,2,3,3,2
828,38,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,0,6,3,3,2,3,3
1669,41,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,3,3,3,3,3,3
1490,52,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,4,1,1,2,3,1
1054,20,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,4,3,3,2,3,3
1806,58,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,6,3,3,3,3,3
1981,23,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,1,3,6,3,3,3,3,3
521,33,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,3,3,3
840,54,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,0,4,3,3,2,3,3
86,29,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,0,6,3,3,2,3,3
730,57,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Solteiro,0,0,5,2,2,2,3,2
92,40,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,1,1,3,3,3,3,3
507,22,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,3,1,3,3,2,3,2
1641,41,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,1,3,3,2,3,3
1189,28,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,2,1,10,2,2,2,3,2
577,51,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,2,3,7,1,1,2,3,1
199,30,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,1,3,3,3,3,3
723,18,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,2,3,3
332,18,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,5,3,3,2,3,3
1137,38,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,10,3,3,3,3,2
935,43,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,0,8,3,3,2,3,3
1410,21,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,0,0,3,3,2,3,3
868,19,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,6,1,1,3,3,1
1239,57,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,1,0,0,3,3,3,3,3
1581,42,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,1,3,3,2,3,3
128,37,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,9,3,3,3,3,3
1988,32,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Solteiro,2,1,8,3,3,2,3,3
101,20,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,2,2,2,2,3,2
1747,46,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,9,2,2,3,3,2
1201,48,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,9,3,3,2,3,2
415,29,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,7,2,2,2,3,2
1930,46,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,1,0,2,1,1,3,3,1
202,40,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,1,2,3,3,3,3,3
1686,60,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Ensino Superior,Solteiro,,0,9,,,3,3,
293,28,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,0,1,1,2,3,1
288,52,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,6,1,1,3,3,1
1741,40,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,0,0,1,1,2,3,1
589,52,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,4,3,3,2,3,3
981,53,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,5,3,3,2,3,3
1492,19,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,8,1,1,3,3,1
569,25,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,5,3,3,3,3,3
1301,48,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Solteiro,0,1,2,1,1,3,3,1
495,24,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,1,1,1,2,3,2
2002,21,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,2,2,1,3,3,2
186,18,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,1,5,3,3,3,3,3
1509,30,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,2,1,5,3,3,2,3,3
1312,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,10,1,1,2,3,1
1140,34,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,10,2,2,2,3,2
1775,45,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,2,1,10,1,1,3,3,1
1234,27,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,0,3,2,2,2,3,2
58,45,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,2,3,3,2,3,3
1489,33,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,1,10,1,1,3,3,1
1574,59,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,1,1,1,2,3,1
1506,33,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,8,3,3,2,3,3
1957,49,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Solteiro,0,0,4,3,3,3,3,3
958,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,4,2,2,3,3,2
793,48,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,2,1,5,3,3,2,3,3
1221,47,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,1,7,3,3,2,3,3
1729,21,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,9,1,1,2,3,1
1387,46,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,1,0,0,2,2,2,3,2
823,26,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,2,2,2,3,3,2
716,42,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,0,2,1,1,3,3,1
1724,25,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,2,3,3
1311,28,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,3,1,1,3,3,1
997,27,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,1,9,3,3,3,3,3
107,58,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,6,1,1,3,3,1
587,25,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,5,2,2,3,3,2
476,40,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,8,1,1,3,3,1
634,45,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,5,2,2,3,3,2
1739,37,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,4,1,1,2,3,1
81,21,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,4,2,2,3,3,2
475,41,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,7,3,3,3,3,3
372,54,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,8,3,3,2,3,3
1610,25,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,0,0,2,2,3,3,2
1421,35,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,1,1,1,2,3,1
322,56,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,2,1,4,3,3,2,3,3
1508,27,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,3,1,3,3,3,3,3
1247,59,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,4,3,3,2,3,3
1761,30,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,3,5,3,3,3,3,3
1948,59,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Solteiro,2,0,5,3,3,2,3,3
144,43,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,8,2,2,2,3,2
527,25,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,2,0,0,3,3,2,3,3
1919,49,Feminino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,3,2,2,2,3,3,2
534,56,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,2,3,7,3,1,2,3,2
804,22,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,5,3,3,2,3,3
1089,51,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,6,3,3,2,3,2
11,22,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,9,3,3,3,3,3
1019,58,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,3,1,1,1,2,3,1
157,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,0,4,3,3,3,3,3
558,49,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,10,1,1,3,3,2
790,35,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,1,0,8,2,2,2,3,2
440,55,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,5,3,3,2,3,3
214,23,Feminino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,7,1,2,3,3,2
1025,27,Feminino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,9,2,2,2,3,2
289,43,Masculino,"Desenvolvimento de Software",Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,3,1,1,2,3,1
1766,26,Masculino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,0,1,1,1,3,3,1
1357,34,Feminino,"Desenvolvimento de Software",Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,2,3,3,3,3,2
1956,46,Masculino,"Desenvolvimento de Software",Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,0,7,2,2,2,3,2
876,43,Masculino,"Desenvolvimento de Software",Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,3,1,1,3,3,2
