Matricula,Idade,Gênero,Departamento,Cargo,Banda Salarial,Status,Motivo do Desligamento,Escolaridade,Estado Civil,Última Promoção (anos),Horas-extras (média),Tempo de Empresa,Engajamento,Satisfação,Desempenho,Apoio da Liderança,Percepção de Desenvolvimento,Probabilidade de Saída
693,41,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,3,8,3,3,2,3,3,1.0
1407,44,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,3,2,2,3,3,2,0.84
643,52,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,2,0,6,3,3,2,3,3,1.0
686,24,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,10,3,3,2,3,2,1.0
1220,29,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,3,3,2,3,3,2,0.92
802,38,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,9,3,3,3,3,3,1.0
1438,53,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Involuntário,Ensino Superior,Casado,1,1,6,1,2,1,3,2,0.0
1400,41,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,7,2,2,2,3,2,0.84
1522,53,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Casado,0,1,1,1,1,2,3,1,0.68
204,22,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,2,0,2,3,3,3,3,2,1.0
1558,27,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,7,1,1,3,3,1,0.68
266,35,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,2,2,2,2,3,2,0.84
15,20,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,9,1,2,3,3,2,0.0
841,42,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,0,3,3,2,3,3,1.0
1894,58,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,0,1,1,3,3,1,0.68
221,42,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,5,3,3,3,3,3,1.0
1329,37,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,2,0,8,3,3,3,3,3,1.0
582,29,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,0,1,8,1,1,2,3,1,0.68
700,39,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,10,3,3,2,3,2,1.0
1744,38,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,3,2,2,3,3,2,0.84
1077,55,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,5,1,1,2,3,1,0.68
1062,23,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,1,6,2,2,3,3,2,0.84
549,37,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,6,2,2,2,3,2,0.84
1179,27,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,0,10,3,3,2,3,3,1.0
1314,27,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,5,2,2,2,3,2,0.84
764,29,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,6,2,2,2,3,2,0.84
321,45,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,1,3,2,2,2,3,2,0.84
329,20,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,7,1,1,2,3,2,0.0
500,23,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,0,0,0,3,3,2,3,2,1.0
727,29,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,1,1,5,3,3,3,3,3,1.0
867,44,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,2,1,1,2,3,1,0.68
1973,33,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,1,1,1,3,3,1,0.68
1562,47,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Involuntário,Ensino Superior,Solteiro,0,0,3,2,2,1,3,2,0.84
694,46,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,1,2,3,3,3,3,3,1.0
472,25,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,0,2,2,3,3,2,0.84
1758,35,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,1,1,4,3,3,2,3,3,1.0
1820,24,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,8,3,3,2,3,3,1.0
1582,29,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,9,3,3,2,3,3,1.0
1026,28,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,1,1,4,2,2,3,3,2,0.84
1869,53,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,1,2,3,3,3,3,3,1.0
1182,57,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,6,3,2,2,3,2,0.92
763,56,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,10,3,3,2,3,2,1.0
300,54,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,0,0,3,3,3,3,2,1.0
908,60,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Aposentadoria,Ensino Superior,Solteiro,,1,4,,,3,3,,0.84
1608,47,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,10,3,3,3,3,3,1.0
1318,50,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,1,3,3,3,3,3,1.0
1891,21,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Casado,0,0,2,3,3,2,3,3,1.0
1866,60,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Inativo,Aposentadoria,Ensino Médio,Solteiro,,1,6,,,2,3,,0.84
74,53,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,2,3,3,3,3,3,1.0
1395,60,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Ensino Superior,Solteiro,,1,6,,,2,3,,0.84
1928,43,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,1,0,4,3,3,2,3,3,1.0
151,46,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,0,3,8,3,3,2,3,2,1.0
1984,39,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,7,3,3,2,3,3,1.0
1779,43,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,7,3,3,3,3,3,1.0
1937,56,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,1,0,4,1,1,2,3,1,0.68
1498,31,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,0,3,1,1,1,2,3,1,0.68
1297,30,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,2,0,2,3,3,3,3,3,1.0
1635,40,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,7,2,1,3,3,2,0.0
656,26,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,9,1,1,2,3,1,0.68
1893,33,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,1,5,3,3,3,3,2,1.0
1287,40,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,1,3,3,2,3,3,1.0
1422,49,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,0,0,10,3,3,3,3,3,1.0
814,19,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,1,2,1,1,3,3,1,0.68
1238,40,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,7,1,1,2,3,1,0.68
528,24,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,6,3,3,3,3,3,1.0
684,18,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,4,3,3,2,3,2,1.0
1046,24,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,2,1,1,2,3,1,0.68
1505,48,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,2,0,8,3,3,3,3,3,1.0
264,43,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,3,1,1,3,3,1,0.68
1538,50,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,7,2,2,2,3,2,0.84
1484,26,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,3,1,1,2,3,2,0.0
1020,59,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,3,4,3,3,2,3,3,1.0
249,34,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,0,0,2,2,2,3,2,0.84
666,55,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,1,3,3,3,3,3,3,1.0
25,18,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,10,1,2,3,3,2,0.0
1371,33,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,0,7,1,1,3,3,2,0.0
179,38,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,5,3,3,2,3,3,1.0
1542,40,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,10,1,1,3,3,1,0.68
1843,38,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,3,3,3,3,3,2,1.0
328,23,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,2,3,9,1,2,3,3,2,0.0
1073,44,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,10,3,3,2,3,3,1.0
451,31,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,5,2,2,2,3,2,0.84
941,56,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,7,3,3,2,3,2,1.0
1334,48,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,7,1,2,2,3,2,0.0
350,52,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,2,0,0,1,1,3,3,1,0.68
1814,33,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,1,3,3,3,3,3,3,1.0
832,18,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,0,3,3,2,3,3,1.0
426,54,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,1,1,4,3,3,2,3,3,1.0
518,37,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,9,3,3,2,3,3,1.0
1380,22,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,5,3,3,2,3,3,1.0
648,36,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,7,3,3,2,3,3,1.0
1481,46,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,10,2,3,3,3,3,0.1
919,41,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,1,4,3,3,2,3,2,1.0
1789,26,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,1,0,6,3,2,2,3,2,0.92
1183,22,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,9,3,3,2,3,3,1.0
1722,51,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,0,3,3,2,3,3,1.0
163,44,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,0,6,1,1,2,3,1,0.68
1473,54,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,1,7,1,2,3,3,2,0.0
355,21,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,7,2,2,3,3,2,0.84
1670,22,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,1,2,2,3,3,2,0.84
1453,53,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Casado,1,1,8,1,1,3,3,1,0.68
78,38,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,2,0,10,3,3,2,3,3,1.0
452,34,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,10,3,3,2,3,3,1.0
195,54,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,2,2,2,3,3,2,0.84
1300,42,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,9,3,3,2,3,3,1.0
135,57,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,1,2,3,3,2,3,3,1.0
1934,39,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,4,3,3,3,3,3,1.0
1348,28,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,3,3,3,1.0
241,49,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,5,1,1,2,3,1,0.68
677,18,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,3,3,3,3,3,3,1.0
1693,60,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Ensino Médio,Casado,,0,1,,,3,3,,0.84
860,47,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,5,3,3,2,3,2,1.0
1152,52,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,0,3,3,3,3,3,1.0
1033,46,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,2,1,8,2,2,3,3,2,0.84
1167,25,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,9,3,3,2,3,3,1.0
660,47,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Solteiro,0,3,2,3,3,2,3,3,1.0
1865,43,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,1,1,4,3,3,2,3,3,1.0
353,41,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,0,7,2,2,2,3,2,0.84
48,29,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,0,9,3,3,3,3,2,1.0
461,19,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Casado,1,1,3,3,3,2,3,3,1.0
253,50,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,1,1,8,3,3,3,3,3,1.0
1052,48,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,2,1,1,1,1,2,3,1,0.68
1401,53,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,8,1,1,3,3,1,0.68
633,60,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Aposentadoria,Ensino Superior,Solteiro,,0,0,,,3,3,,0.84
502,53,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,0,1,1,3,3,1,0.68
1268,25,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,9,1,1,3,3,1,0.68
466,47,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,2,0,6,3,3,3,3,3,1.0
1681,33,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,1,0,9,1,1,2,3,1,0.68
1799,48,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,7,3,3,2,3,3,1.0
6,44,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,3,0,2,2,3,3,2,0.84
1346,34,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,0,0,8,1,1,3,3,1,0.68
192,18,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,6,3,3,3,3,3,1.0
1114,41,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,3,9,2,2,2,3,2,0.84
1482,52,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,6,3,3,3,3,2,1.0
467,53,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,2,1,10,1,1,3,3,1,0.68
408,47,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,9,3,3,2,3,2,1.0
1269,31,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,0,5,3,3,3,3,3,1.0
726,56,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,7,1,1,3,3,1,0.68
771,33,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,3,2,3,3,3,3,3,1.0
1487,31,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,5,2,2,2,3,2,0.84
278,43,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,10,1,1,3,3,1,0.68
170,52,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,0,1,5,3,3,2,3,3,1.0
627,29,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,3,1,3,3,2,3,2,1.0
14,33,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,6,3,3,3,3,3,1.0
1060,52,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,3,0,2,2,2,3,2,0.84
446,44,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,1,7,1,1,2,3,1,0.68
1139,59,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,2,1,1,3,3,1,0.68
1491,31,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,10,3,3,2,3,3,1.0
486,47,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,8,2,2,2,3,2,0.84
1138,31,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,6,3,3,2,3,3,1.0
1823,43,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,1,2,1,1,2,3,1,0.68
1177,36,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,0,3,3,2,3,3,1.0
1263,53,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,2,1,4,2,2,3,3,2,0.84
1890,48,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,2,3,3,2,3,3,1.0
573,37,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,0,3,3,2,3,3,1.0
1563,41,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Casado,0,0,5,1,2,2,3,2,0.0
97,27,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,0,3,3,2,3,3,1.0
1165,41,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,2,2,2,2,3,2,0.84
579,33,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Involuntário,Ensino Superior,Casado,0,0,8,2,1,1,3,2,0.0
1931,43,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,7,1,1,2,3,1,0.68
206,38,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,3,0,1,1,2,3,2,0.0
1708,33,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,3,3,3,3,3,3,1.0
916,39,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,0,2,1,1,3,3,1,0.68
226,32,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,9,2,2,2,3,2,0.84
26,42,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,5,3,3,3,3,2,1.0
1147,29,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,2,2,2,3,3,2,0.84
1374,36,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Pós-Graduação,Solteiro,0,0,4,1,2,3,3,2,0.0
208,20,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,4,3,3,2,3,2,1.0
1265,39,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,0,3,2,2,2,3,2,0.84
1512,59,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Casado,0,1,5,3,3,2,3,3,1.0
1124,19,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,0,3,3,3,3,3,1.0
254,19,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,1,2,2,2,3,2,0.84
1474,30,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,3,2,3,3,3,3,3,1.0
1214,19,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Casado,1,0,7,2,2,3,3,2,0.84
430,47,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,1,2,2,2,3,2,0.84
112,37,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Pós-Graduação,Solteiro,0,1,2,3,3,3,3,2,1.0
447,36,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,3,3,2,3,3,1.0
490,48,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,8,1,1,3,3,1,0.68
543,53,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,6,3,3,3,3,3,1.0
